implementation,gpus,ranks,threads,D,T,dt,nsteps,max_time_s,l2_error,source
mpi_cuda,1,,,16,0.02,0.001,20,0.026514392,2.633172e-14,sweep_mpi_cuda/rk4_mpi_cuda_g1_D16.csv
mpi_cuda,1,,,32,0.02,0.001,20,0.004038835,3.699592e-13,sweep_mpi_cuda/rk4_mpi_cuda_g1_D32.csv
mpi_cuda,1,,,64,0.02,0.001,20,0.003987231,8.119735e-12,sweep_mpi_cuda/rk4_mpi_cuda_g1_D64.csv
mpi_cuda,1,,,128,0.02,0.001,20,0.004775733,2.275277e-10,sweep_mpi_cuda/rk4_mpi_cuda_g1_D128.csv
mpi_cuda,1,,,256,0.02,0.001,20,0.006749813,6.785814e-09,sweep_mpi_cuda/rk4_mpi_cuda_g1_D256.csv
mpi_cuda,1,,,512,0.02,0.001,20,0.009672417,1.781989e-07,sweep_mpi_cuda/rk4_mpi_cuda_g1_D512.csv
mpi_cuda,1,,,1024,0.02,0.001,20,0.016659926,3.185287e-06,sweep_mpi_cuda/rk4_mpi_cuda_g1_D1024.csv
mpi_cuda,1,,,2048,0.02,0.001,20,0.033151642,2.578115e-05,sweep_mpi_cuda/rk4_mpi_cuda_g1_D2048.csv
mpi_cuda,1,,,4096,0.02,0.001,20,0.053854785,5.926305e-05,sweep_mpi_cuda/rk4_mpi_cuda_g1_D4096.csv
mpi_cuda,1,,,8192,0.02,0.001,20,0.104797298,6.203705e-05,sweep_mpi_cuda/rk4_mpi_cuda_g1_D8192.csv
mpi_cuda,1,,,16384,0.02,0.001,20,0.208018923,6.203735e-05,sweep_mpi_cuda/rk4_mpi_cuda_g1_D16384.csv
mpi_cuda,1,,,32768,0.02,0.001,20,0.446474205,19904660.0,sweep_mpi_cuda/rk4_mpi_cuda_g1_D32768.csv
mpi_cuda,1,,,65536,0.02,0.001,20,1.535944564,3.30396e+34,sweep_mpi_cuda/rk4_mpi_cuda_g1_D65536.csv
mpi_cuda,2,,,16,0.02,0.001,20,0.00502613,2.633172e-14,sweep_mpi_cuda/rk4_mpi_cuda_g2_D16.csv
mpi_cuda,2,,,32,0.02,0.001,20,0.005720761,3.699592e-13,sweep_mpi_cuda/rk4_mpi_cuda_g2_D32.csv
mpi_cuda,2,,,64,0.02,0.001,20,0.004421143,8.119735e-12,sweep_mpi_cuda/rk4_mpi_cuda_g2_D64.csv
mpi_cuda,2,,,128,0.02,0.001,20,0.006094888,2.275277e-10,sweep_mpi_cuda/rk4_mpi_cuda_g2_D128.csv
mpi_cuda,2,,,256,0.02,0.001,20,0.005881719,6.785814e-09,sweep_mpi_cuda/rk4_mpi_cuda_g2_D256.csv
